"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"청소","100K+","July 31, 2026 at 7:30:00 AM UTC+9",,"청소","https://trends.google.com/trends/explore?q=%EC%B2%AD%EC%86%8C&geo=KR&hl=en-US"
"김희철","100K+","August 2, 2026 at 7:00:00 AM UTC+9",,"김희철,아는 형님","https://trends.google.com/trends/explore?q=%EA%B9%80%ED%9D%AC%EC%B2%A0&geo=KR&hl=en-US"
"김빈우","100K+","August 2, 2026 at 11:50:00 AM UTC+9",,"김빈우","https://trends.google.com/trends/explore?q=%EA%B9%80%EB%B9%88%EC%9A%B0&geo=KR&hl=en-US"
"박동빈","50K+","August 2, 2026 at 10:40:00 AM UTC+9",,"박동빈","https://trends.google.com/trends/explore?q=%EB%B0%95%EB%8F%99%EB%B9%88&geo=KR&hl=en-US"
"해병대","50K+","August 3, 2026 at 3:10:00 PM UTC+9",,"해병대,부사관,사고","https://trends.google.com/trends/explore?q=%ED%95%B4%EB%B3%91%EB%8C%80&geo=KR&hl=en-US"
"화산분화","20K+","August 3, 2026 at 11:20:00 PM UTC+9",,"화산분화","https://trends.google.com/trends/explore?q=%ED%99%94%EC%82%B0%EB%B6%84%ED%99%94&geo=KR&hl=en-US"
"스파이더맨","200K+","July 29, 2026 at 12:30:00 AM UTC+9",,"스파이더맨,진 그레이,세이디 싱크,진그레이,톰홀랜드,스파이더맨 쿠키,스파이더맨 브랜드 뉴 데이,스파이더맨 브랜드 뉴 데이 쿠키,스파이더맨 노웨이홈,톰 홀랜드,스파이더맨 쿠키영상,스파이더맨 브랜드 뉴 데이 쿠키영상,브랜드 뉴 데이,스크린x,세이디싱크,스파이더맨 진그레이,노웨이홈,스파이더맨 홈커밍,어벤져스: 둠스데이,스파이더맨: 브랜드 뉴 데이,브랜드 뉴 데이 쿠키","https://trends.google.com/trends/explore?q=%EC%8A%A4%ED%8C%8C%EC%9D%B4%EB%8D%94%EB%A7%A8&geo=KR&hl=en-US"
"오태완","20K+","August 3, 2026 at 7:30:00 PM UTC+9",,"오태완,의령군","https://trends.google.com/trends/explore?q=%EC%98%A4%ED%83%9C%EC%99%84&geo=KR&hl=en-US"
"상어","20K+","August 3, 2026 at 1:00:00 PM UTC+9",,"상어","https://trends.google.com/trends/explore?q=%EC%83%81%EC%96%B4&geo=KR&hl=en-US"
"sk그룹","50K+","August 3, 2026 at 2:30:00 PM UTC+9",,"sk그룹","https://trends.google.com/trends/explore?q=sk%EA%B7%B8%EB%A3%B9&geo=KR&hl=en-US"
"kia 대 nc","50K+","July 31, 2026 at 5:30:00 PM UTC+9",,"kia 대 nc,오선우","https://trends.google.com/trends/explore?q=kia%20%EB%8C%80%20nc&geo=KR&hl=en-US"
"전기 요금","50K+","August 3, 2026 at 7:30:00 PM UTC+9",,"전기 요금","https://trends.google.com/trends/explore?q=%EC%A0%84%EA%B8%B0%20%EC%9A%94%EA%B8%88&geo=KR&hl=en-US"
"소송","20K+","August 3, 2026 at 6:20:00 PM UTC+9",,"소송,유류분,재산","https://trends.google.com/trends/explore?q=%EC%86%8C%EC%86%A1&geo=KR&hl=en-US"
"권은비","20K+","August 2, 2026 at 11:50:00 PM UTC+9",,"권은비","https://trends.google.com/trends/explore?q=%EA%B6%8C%EC%9D%80%EB%B9%84&geo=KR&hl=en-US"
"정은혜","50K+","July 31, 2026 at 5:00:00 PM UTC+9",,"정은혜","https://trends.google.com/trends/explore?q=%EC%A0%95%EC%9D%80%ED%98%9C&geo=KR&hl=en-US"
"성리","20K+","August 3, 2026 at 3:00:00 PM UTC+9",,"성리,전설 의 사내,전설의 사내","https://trends.google.com/trends/explore?q=%EC%84%B1%EB%A6%AC&geo=KR&hl=en-US"
"정준원","10K+","August 1, 2026 at 7:00:00 PM UTC+9",,"정준원,유부녀킬러 드라마","https://trends.google.com/trends/explore?q=%EC%A0%95%EC%A4%80%EC%9B%90&geo=KR&hl=en-US"
"여객선","20K+","August 3, 2026 at 12:40:00 AM UTC+9",,"여객선,인도네시아","https://trends.google.com/trends/explore?q=%EC%97%AC%EA%B0%9D%EC%84%A0&geo=KR&hl=en-US"
"태풍 돌핀 예상 경로","200K+","July 29, 2026 at 9:00:00 PM UTC+9",,"태풍 돌핀 예상 경로,돌핀 경로,돌핀,태풍 경로,돌핀 태풍,태풍 루사,슈퍼태풍,태풍경로,돌핀 예상 경로,슈퍼 태풍,강풍,태풍 돌핀 경로,이투데이","https://trends.google.com/trends/explore?q=%ED%83%9C%ED%92%8D%20%EB%8F%8C%ED%95%80%20%EC%98%88%EC%83%81%20%EA%B2%BD%EB%A1%9C&geo=KR&hl=en-US"
"학림도","10K+","August 2, 2026 at 10:00:00 AM UTC+9",,"학림도","https://trends.google.com/trends/explore?q=%ED%95%99%EB%A6%BC%EB%8F%84&geo=KR&hl=en-US"
"손아섭","20K+","August 3, 2026 at 4:00:00 PM UTC+9",,"손아섭","https://trends.google.com/trends/explore?q=%EC%86%90%EC%95%84%EC%84%AD&geo=KR&hl=en-US"
"김서연","10K+","August 2, 2026 at 9:40:00 PM UTC+9",,"김서연,김도윤,배우 김서연","https://trends.google.com/trends/explore?q=%EA%B9%80%EC%84%9C%EC%97%B0&geo=KR&hl=en-US"
"차가 원","10K+","August 4, 2026 at 6:10:00 AM UTC+9",,"차가 원,차가원,원헌드레드레이블,구속영장,mc몽","https://trends.google.com/trends/explore?q=%EC%B0%A8%EA%B0%80%20%EC%9B%90&geo=KR&hl=en-US"
"다저스 대 컵스","5K+","August 4, 2026 at 8:20:00 AM UTC+9",,"다저스 대 컵스","https://trends.google.com/trends/explore?q=%EB%8B%A4%EC%A0%80%EC%8A%A4%20%EB%8C%80%20%EC%BB%B5%EC%8A%A4&geo=KR&hl=en-US"
"폭발","10K+","August 4, 2026 at 12:40:00 AM UTC+9",,"폭발,폭탄","https://trends.google.com/trends/explore?q=%ED%8F%AD%EB%B0%9C&geo=KR&hl=en-US"
